stage,host,kind,training_seed,condition,env_seed,policy_seed,success,policy_steps,reason,source_summary
primary,H2,rgb,1,top,920001,1020001,True,520,dwell_complete,withheld-source-a851d512d89f8b141879
primary,H2,rgb,1,top,920002,1020002,True,456,dwell_complete,withheld-source-a851d512d89f8b141879
primary,H2,rgb,1,top,920003,1020003,True,476,dwell_complete,withheld-source-a851d512d89f8b141879
primary,H2,rgb,1,top,920004,1020004,True,508,dwell_complete,withheld-source-a851d512d89f8b141879
primary,H2,rgb,1,top,920005,1020005,True,608,dwell_complete,withheld-source-a851d512d89f8b141879
primary,H2,depth,1,top,920001,1020001,True,576,dwell_complete,withheld-source-b4c489b764ef83ced6d4
primary,H2,depth,1,top,920002,1020002,True,307,dwell_complete,withheld-source-b4c489b764ef83ced6d4
primary,H2,depth,1,top,920003,1020003,False,2000,max_steps,withheld-source-b4c489b764ef83ced6d4
primary,H2,depth,1,top,920004,1020004,True,384,dwell_complete,withheld-source-b4c489b764ef83ced6d4
primary,H2,depth,1,top,920005,1020005,True,464,dwell_complete,withheld-source-b4c489b764ef83ced6d4
primary,H2,rgb,2,top,930001,1030001,True,568,dwell_complete,withheld-source-73dbbacdf1771f7bb63a
primary,H2,rgb,2,top,930002,1030002,True,648,dwell_complete,withheld-source-73dbbacdf1771f7bb63a
primary,H2,depth,2,top,930001,1030001,True,511,dwell_complete,withheld-source-d563ab744fe4196e2acd
primary,H2,depth,2,top,930002,1030002,False,2000,max_steps,withheld-source-d563ab744fe4196e2acd
primary,H2,rgb,0,front,910001,1010001,False,2000,max_steps,withheld-source-505e4feba47d41283b71
primary,H2,rgb,0,front,910002,1010002,False,2000,max_steps,withheld-source-505e4feba47d41283b71
primary,H2,rgb,0,front,910003,1010003,True,529,dwell_complete,withheld-source-505e4feba47d41283b71
primary,H2,rgb,0,front,910004,1010004,False,2000,max_steps,withheld-source-505e4feba47d41283b71
primary,H2,rgb,0,front,910005,1010005,True,915,dwell_complete,withheld-source-505e4feba47d41283b71
primary,H2,depth,0,front,910001,1010001,False,2000,max_steps,withheld-source-39ad42c2635b86f71e3d
primary,H2,depth,0,front,910002,1010002,False,2000,max_steps,withheld-source-39ad42c2635b86f71e3d
primary,H2,depth,0,front,910003,1010003,True,527,dwell_complete,withheld-source-39ad42c2635b86f71e3d
primary,H2,depth,0,front,910004,1010004,False,2000,max_steps,withheld-source-39ad42c2635b86f71e3d
primary,H2,depth,0,front,910005,1010005,True,903,dwell_complete,withheld-source-39ad42c2635b86f71e3d
primary,H2,rgb,1,front,920001,1020001,True,704,dwell_complete,withheld-source-3cd5beda34d057879741
primary,H2,rgb,1,front,920002,1020002,True,582,dwell_complete,withheld-source-3cd5beda34d057879741
primary,H2,rgb,1,front,920003,1020003,False,2000,max_steps,withheld-source-3cd5beda34d057879741
primary,H2,rgb,1,front,920004,1020004,True,379,dwell_complete,withheld-source-3cd5beda34d057879741
