tag,group,kind,success,joint_index,joint_name,per_joint_signed_work_j,per_joint_positive_work_j,per_joint_absolute_work_j,per_joint_peak_absolute_power_w,per_joint_peak_absolute_torque_nm,per_joint_peak_absolute_velocity_rad_s,per_joint_min_limit_margin_rad
record-19ed4caa5e02f664,corrected,depth,False,2,elbow,575.2494762518717,579.1953463392376,584.6342037509347,1376.7163389704363,2421.099135831637,0.4285440251797967,0.1618347688346911
record-19ed4caa5e02f664,corrected,depth,False,3,forearm_roll,0.31885687969851945,0.322810547335474,0.32553809811044376,3.244325999954743,6.000232335159839,0.5397882002676355,10.966438844598484
record-19ed4caa5e02f664,corrected,depth,False,4,wrist_angle,118.66347084501086,119.18465356059268,120.66074381474067,113.54147964562601,208.02526653590425,0.1649613216601198,17.939611661295693
record-67a918241ddc05c5,corrected,rgb,False,0,waist,116.09395329492877,117.51648061705937,119.05203225291787,12.431153967930536,38.813939333507655,0.23255917909202117,0.276558289112754
record-67a918241ddc05c5,corrected,rgb,False,1,shoulder,55.528059395871026,55.68751326005172,56.30786213476994,422.94660700856326,818.5027833851389,0.6123544333550385,0.0687804137291266
record-67a918241ddc05c5,corrected,rgb,False,2,elbow,220.6067737095612,223.10674657514664,225.33286328682507,2089.583993205616,6078.945749643017,0.28551117494498,0.07485721766849047
record-67a918241ddc05c5,corrected,rgb,False,3,forearm_roll,0.10495884705514866,0.10520788745375093,0.10643828871179449,14.384203352524077,17.664026325278922,0.6671993795604094,13.483009266281353
record-67a918241ddc05c5,corrected,rgb,False,4,wrist_angle,38.30992198746978,38.69592336071276,39.097072405870776,163.19388301642746,191.15091705616874,0.39432588897414605,8.786411805228724
record-b7aa98e1d9233c3e,corrected,depth,True,0,waist,296.1372552485247,296.5427303617361,299.66143905186317,12.257274944806527,20.40510908668603,0.46328710117121863,0.38471283829286784
record-b7aa98e1d9233c3e,corrected,depth,True,1,shoulder,124.1760707652515,125.18617693469159,126.75131860438408,85.75686451624719,207.89228996636564,0.11913674886430053,0.4749265470533179
record-b7aa98e1d9233c3e,corrected,depth,True,2,elbow,444.08948823763586,449.7135505797522,453.8205983540276,391.81095276765194,611.4868867557044,0.34280765837142363,0.1784691944830674
record-b7aa98e1d9233c3e,corrected,depth,True,3,forearm_roll,0.23460997634253328,0.23753301434469623,0.2399065023042817,3.649146717590507,6.749208442259945,0.3098641258770933,7.601286171756987
record-b7aa98e1d9233c3e,corrected,depth,True,4,wrist_angle,83.43521519068987,84.8480687649585,85.544065942536,30.920061182183805,62.83540730368558,0.4827139492913625,9.865293865208576
record-09d61a6d5e5ca106,corrected,rgb,False,0,waist,262.7310216967885,263.449308472693,265.6543525183956,12.220259518770519,15.442236757785974,0.5567721968985212,0.23864593194767292
record-09d61a6d5e5ca106,corrected,rgb,False,1,shoulder,104.06419202611029,105.12733170181824,106.70687157597898,488.8947748652673,1444.1584750737675,0.2853706472317296,0.021108804070978687
record-09d61a6d5e5ca106,corrected,rgb,False,2,elbow,404.20353500894396,407.9373059696329,411.8637941267119,1332.287048402647,3702.7103844340436,0.5468660990369304,0.057554768340363785
